Name,Runtime,analysis,config,data.group1,data.group2,Group A/acc@1,Group A/acc@5,Group A/acc@N,time/propose_rank_minutes,time/propose_rank_seconds
CCDiff-MetaShift,51,,configs/sweep_metashift_purity1.0_seed0/0.yaml,rice(plate),rice(food),0.5,0.5,0.5,0.8497365117073059,50.984190702438354
CCDiff-MetaShift,50,,configs/sweep_metashift_purity1.0_seed0/1.yaml,banana(bowl),banana(man),0.5,0.5,0.5,0.8210274656613668,49.26164793968201
CCDiff-MetaShift,50,,configs/sweep_metashift_purity1.0_seed0/2.yaml,banana(orange),banana(apple),0.5,0.5,0.5,0.834510886669159,50.070653200149536
CCDiff-MetaShift,5,,configs/sweep_metashift_purity1.0_seed0/3.yaml,banana(bowl),banana(apple),0.5,0.5,0.5,0.06149226029713949,3.689535617828369
CCDiff-MetaShift,12,,configs/sweep_metashift_purity1.0_seed0/4.yaml,banana(bowl),banana(table),0.5,0.5,0.5,0.18089667161305745,10.853800296783447
CCDiff-MetaShift,44,,configs/sweep_metashift_purity1.0_seed0/5.yaml,banana(fruit),banana(apple),0.0,0.5,0.5,0.7095538139343261,42.57322883605957
CCDiff-MetaShift,53,,configs/sweep_metashift_purity1.0_seed0/6.yaml,meat(plate),meat(sandwich),0.5,0.5,0.5,0.8667810002962748,52.00686001777649
CCDiff-MetaShift,12,,configs/sweep_metashift_purity1.0_seed0/7.yaml,meat(plate),meat(cheese),0.5,0.5,0.5,0.17633889516194662,10.580333709716797
CCDiff-MetaShift,50,,configs/sweep_metashift_purity1.0_seed0/8.yaml,meat(vegetables),meat(lettuce),0.5,0.5,0.5,0.8226496537526449,49.35897922515869
CCDiff-MetaShift,51,,configs/sweep_metashift_purity1.0_seed0/9.yaml,meat(bowl),meat(napkin),0.0,0.5,0.5,0.8332241257031758,49.99344754219055
CCDiff-MetaShift,44,,configs/sweep_metashift_purity1.0_seed0/10.yaml,meat(lettuce),meat(broccoli),0.0,0.0,0.0,0.719621499379476,43.177289962768555
CCDiff-MetaShift,55,,configs/sweep_metashift_purity1.0_seed0/11.yaml,spoon(fork),spoon(chair),0.0,0.0,0.0,0.8839806477228801,53.0388388633728
CCDiff-MetaShift,55,,configs/sweep_metashift_purity1.0_seed0/12.yaml,spoon(bowl),spoon(man),0.0,0.5,0.5,0.8916075229644775,53.49645137786865
CCDiff-MetaShift,4,,configs/sweep_metashift_purity1.0_seed0/13.yaml,spoon(bowl),spoon(fork),0.0,0.5,0.5,0.06023592154184977,3.6141552925109863
CCDiff-MetaShift,12,,configs/sweep_metashift_purity1.0_seed0/14.yaml,spoon(bowl),spoon(bottle),0.0,0.5,0.5,0.1889394680658976,11.336368083953856
CCDiff-MetaShift,46,,configs/sweep_metashift_purity1.0_seed0/15.yaml,spoon(plate),spoon(man),0.5,0.5,0.5,0.7473110675811767,44.838664054870605
CCDiff-MetaShift,54,,configs/sweep_metashift_purity1.0_seed0/16.yaml,tablecloth(plate),tablecloth(chair),0.5,0.5,0.5,0.8710631211598714,52.263787269592285
CCDiff-MetaShift,53,,configs/sweep_metashift_purity1.0_seed0/17.yaml,tablecloth(table),tablecloth(man),0.0,0.5,0.5,0.8616147994995117,51.6968879699707
CCDiff-MetaShift,8,,configs/sweep_metashift_purity1.0_seed0/18.yaml,tablecloth(plate),tablecloth(table),0.5,0.5,0.5,0.09798194567362468,5.8789167404174805
CCDiff-MetaShift,4,,configs/sweep_metashift_purity1.0_seed0/19.yaml,tablecloth(plate),tablecloth(man),0.5,0.5,0.5,0.058727359771728514,3.523641586303711
CCDiff-MetaShift,3,,configs/sweep_metashift_purity1.0_seed0/20.yaml,tablecloth(table),tablecloth(chair),0.0,0.0,0.0,0.06032485564549764,3.6194913387298584
CCDiff-MetaShift,54,,configs/sweep_metashift_purity1.0_seed0/21.yaml,bowl(chair),bowl(glasses),0.0,0.0,0.0,0.8927781820297241,53.56669092178345
CCDiff-MetaShift,53,,configs/sweep_metashift_purity1.0_seed0/22.yaml,bowl(cup),bowl(table),0.5,0.5,0.5,0.8745304147402445,52.47182488441467
CCDiff-MetaShift,52,,configs/sweep_metashift_purity1.0_seed0/23.yaml,bowl(cheese),bowl(pizza),0.5,0.5,0.5,0.8498187065124512,50.98912239074707
CCDiff-MetaShift,55,,configs/sweep_metashift_purity1.0_seed0/24.yaml,bowl(napkin),bowl(knife),0.0,0.0,0.0,0.8893099347750346,53.358596086502075
CCDiff-MetaShift,44,,configs/sweep_metashift_purity1.0_seed0/25.yaml,bowl(banana),bowl(napkin),0.5,0.5,0.5,0.7112509091695149,42.6750545501709
CCDiff-MetaShift,52,,configs/sweep_metashift_purity1.0_seed0/26.yaml,dish(food),dish(table),0.5,1.0,1.0,0.8314293344815572,49.88576006889343
CCDiff-MetaShift,46,,configs/sweep_metashift_purity1.0_seed0/27.yaml,dish(table),dish(fork),1.0,1.0,1.0,0.7544756293296814,45.26853775978088
CCDiff-MetaShift,47,,configs/sweep_metashift_purity1.0_seed0/28.yaml,dish(spoon),dish(food),0.0,0.5,0.5,0.7495303511619568,44.97182106971741
CCDiff-MetaShift,45,,configs/sweep_metashift_purity1.0_seed0/29.yaml,dish(plate),dish(fork),1.0,1.0,1.0,0.7195137937863668,43.17082762718201
CCDiff-MetaShift,44,,configs/sweep_metashift_purity1.0_seed0/30.yaml,dish(bowl),dish(food),0.0,0.0,0.0,0.738226838906606,44.29361033439636
CCDiff-MetaShift,52,,configs/sweep_metashift_purity1.0_seed0/31.yaml,plate(bread),plate(carrot),0.5,0.5,0.5,0.8390748103459676,50.34448862075806
CCDiff-MetaShift,55,,configs/sweep_metashift_purity1.0_seed0/32.yaml,plate(coffee),plate(girl),0.5,0.5,0.5,0.8996673107147217,53.9800386428833
CCDiff-MetaShift,54,,configs/sweep_metashift_purity1.0_seed0/33.yaml,plate(saucer),plate(vase),0.0,0.0,0.0,0.8966009934743245,53.79605960845947
CCDiff-MetaShift,52,,configs/sweep_metashift_purity1.0_seed0/34.yaml,plate(cheese),plate(boy),0.5,0.5,0.5,0.8388019919395446,50.32811951637268
CCDiff-MetaShift,12,,configs/sweep_metashift_purity1.0_seed0/35.yaml,plate(bread),plate(napkin),0.5,1.0,1.0,0.19901467561721803,11.94088053703308
CCDiff-MetaShift,50,,configs/sweep_metashift_purity1.0_seed0/36.yaml,ground(snow),ground(dirt),0.5,1.0,1.0,0.8011399706204733,48.068398237228394
CCDiff-MetaShift,14,,configs/sweep_metashift_purity1.0_seed0/37.yaml,ground(snow),ground(helmet),0.5,1.0,1.0,0.19546424945195515,11.72785496711731
CCDiff-MetaShift,49,,configs/sweep_metashift_purity1.0_seed0/38.yaml,ground(airplane),ground(rocks),1.0,1.0,1.0,0.7898831407229105,47.392988443374634
CCDiff-MetaShift,13,,configs/sweep_metashift_purity1.0_seed0/39.yaml,ground(snow),ground(bus),0.5,0.5,0.5,0.18564471403757732,11.13868284225464
CCDiff-MetaShift,44,,configs/sweep_metashift_purity1.0_seed0/40.yaml,ground(car),ground(bus),0.5,1.0,1.0,0.6903714179992676,41.422285079956055
CCDiff-MetaShift,50,,configs/sweep_metashift_purity1.0_seed0/41.yaml,bushes(woman),bushes(house),0.0,0.0,0.0,0.83009459177653,49.8056755065918
CCDiff-MetaShift,51,,configs/sweep_metashift_purity1.0_seed0/42.yaml,bushes(trees),bushes(sign),0.0,0.0,0.0,0.8331231832504272,49.987390995025635
CCDiff-MetaShift,54,,configs/sweep_metashift_purity1.0_seed0/43.yaml,bushes(man),bushes(bench),0.5,0.5,0.5,0.8726919849713644,52.36151909828186
CCDiff-MetaShift,54,,configs/sweep_metashift_purity1.0_seed0/44.yaml,bushes(tree),bushes(car),0.0,0.0,0.0,0.8658287247021993,51.94972348213196
CCDiff-MetaShift,61,,configs/sweep_metashift_purity1.0_seed0/45.yaml,bushes(giraffe),bushes(wall),0.5,0.5,0.5,0.9971109549204508,59.82665729522705
CCDiff-MetaShift,58,,configs/sweep_metashift_purity1.0_seed0/46.yaml,road(dog),road(girl),0.5,1.0,1.0,0.9522736430168152,57.13641858100891
CCDiff-MetaShift,56,,configs/sweep_metashift_purity1.0_seed0/47.yaml,road(car),road(truck),0.0,0.0,0.0,0.916443121433258,54.98658728599548
CCDiff-MetaShift,56,,configs/sweep_metashift_purity1.0_seed0/48.yaml,road(bike),road(skateboard),1.0,1.0,1.0,0.9190202991167704,55.141217947006226
CCDiff-MetaShift,60,,configs/sweep_metashift_purity1.0_seed0/49.yaml,road(bicycle),road(lamp),0.0,1.0,1.0,0.9731828490893046,58.39097094535827
CCDiff-MetaShift,61,,configs/sweep_metashift_purity1.0_seed0/50.yaml,road(box),road(taxi),0.5,0.5,0.5,0.9808931152025858,58.85358691215515
CCDiff-MetaShift,59,,configs/sweep_metashift_purity1.0_seed0/51.yaml,leaves(branch),leaves(table),0.5,0.5,0.5,0.9547847429911296,57.28708457946777
CCDiff-MetaShift,14,,configs/sweep_metashift_purity1.0_seed0/52.yaml,leaves(branch),leaves(bench),0.5,0.5,0.5,0.2117532014846802,12.70519208908081
CCDiff-MetaShift,62,,configs/sweep_metashift_purity1.0_seed0/53.yaml,leaves(trees),leaves(bear),0.0,0.0,0.0,1.017324157555898,61.03944945335388
CCDiff-MetaShift,50,,configs/sweep_metashift_purity1.0_seed0/54.yaml,leaves(water),leaves(bench),0.0,0.0,0.0,0.7978654384613038,47.87192630767822
CCDiff-MetaShift,49,,configs/sweep_metashift_purity1.0_seed0/55.yaml,leaves(tree),leaves(water),0.0,0.0,0.0,0.7897827823956808,47.386966943740845
CCDiff-MetaShift,52,,configs/sweep_metashift_purity1.0_seed0/56.yaml,ski(man),ski(people),0.5,1.0,1.0,0.8187895059585572,49.12737035751343
CCDiff-MetaShift,41,,configs/sweep_metashift_purity1.0_seed0/57.yaml,ski(snow),ski(man),0.5,0.5,0.5,0.6742553989092509,40.455323934555054
CCDiff-MetaShift,12,,configs/sweep_metashift_purity1.0_seed0/58.yaml,ski(snow),ski(person),0.5,0.5,0.5,0.18921638329823812,11.352982997894289
CCDiff-MetaShift,12,,configs/sweep_metashift_purity1.0_seed0/59.yaml,ski(man),ski(helmet),0.5,1.0,1.0,0.1944180130958557,11.665080785751345
CCDiff-MetaShift,4,,configs/sweep_metashift_purity1.0_seed0/60.yaml,ski(snow),ski(helmet),0.5,1.0,1.0,0.05889616012573242,3.5337696075439453
CCDiff-MetaShift,55,,configs/sweep_metashift_purity1.0_seed0/61.yaml,boy(building),boy(house),0.0,0.0,0.0,0.887891153494517,53.27346920967102
CCDiff-MetaShift,55,,configs/sweep_metashift_purity1.0_seed0/62.yaml,boy(watch),boy(door),0.0,0.0,0.0,0.916906770070394,55.01440620422363
CCDiff-MetaShift,54,,configs/sweep_metashift_purity1.0_seed0/63.yaml,boy(boy),boy(sweater),0.5,0.5,0.5,0.8775232632954916,52.65139579772949
CCDiff-MetaShift,53,,configs/sweep_metashift_purity1.0_seed0/64.yaml,boy(socks),boy(bottle),0.0,0.0,0.0,0.8665902217229208,51.99541330337525
CCDiff-MetaShift,53,,configs/sweep_metashift_purity1.0_seed0/65.yaml,boy(person),boy(window),0.0,1.0,1.0,0.8771612485249837,52.62967491149902
CCDiff-MetaShift,52,,configs/sweep_metashift_purity1.0_seed0/66.yaml,snow(leaves),snow(snowboarder),0.0,0.0,0.0,0.8382320841153462,50.293925046920776
CCDiff-MetaShift,53,,configs/sweep_metashift_purity1.0_seed0/67.yaml,snow(building),snow(roof),0.0,0.0,0.0,0.8603184779485067,51.6191086769104
