"Name","State","Notes","User","Tags","Created","Runtime","Sweep","analysis","captioner.agg_knowledge_bank_filepath","captioner.analysis","captioner.knowledge_bank_filepath","captioner.method","captioner.model","captioner.num_rounds","captioner.num_samples","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","evaluator.method","evaluator.model","evaluator.n_hypotheses","inv_diff.analysis","inv_diff.clip_model","inv_diff.inverse_cca.ktype","inv_diff.inverse_cca.type","inv_diff.knowledge_bank_filepath","inv_diff.method","project","ranker.classify_threshold","ranker.clip_dataset","ranker.clip_model","ranker.max_num_samples","ranker.method","seed","wandb","Group A/acc@1","Group A/acc@5","Group A/acc@N","time/generate_captions_minutes","time/generate_captions_seconds","time/load_config_and_data_minutes","time/load_config_and_data_seconds","time/propose_rank_elapsed_time_extract_clip_img_embeds_minutes","time/propose_rank_elapsed_time_extract_clip_img_embeds_seconds","time/propose_rank_elapsed_time_extract_clip_txt_embeds_minutes","time/propose_rank_elapsed_time_extract_clip_txt_embeds_seconds","time/propose_rank_elapsed_time_extract_vocab_filtering_cls0_minutes","time/propose_rank_elapsed_time_extract_vocab_filtering_cls0_seconds","time/propose_rank_elapsed_time_extract_vocab_filtering_cls1_minutes","time/propose_rank_elapsed_time_extract_vocab_filtering_cls1_seconds","time/propose_rank_elapsed_time_extract_vocab_filtering_minutes","time/propose_rank_elapsed_time_extract_vocab_filtering_seconds","time/propose_rank_elapsed_time_inverse_cca_cls0_minutes","time/propose_rank_elapsed_time_inverse_cca_cls0_seconds","time/propose_rank_elapsed_time_inverse_cca_cls1_minutes","time/propose_rank_elapsed_time_inverse_cca_cls1_seconds","time/propose_rank_elapsed_time_standardization_minutes","time/propose_rank_elapsed_time_standardization_seconds","time/total_propose_rank_minutes","time/total_propose_rank_seconds","time/total_runtime_minutes","time/total_runtime_seconds","top_1_difference","top_1_score","top_2_difference","top_2_score","top_3_difference","top_3_score","top_4_difference","top_4_score","top_5_difference","top_5_score"
"PairedImageSets","finished","-","","","2026-03-29T23:48:04.000Z","70","","partial","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","partial","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/149_hard.yaml","People practicing the Sun Salutation in yoga","People practicing the Tree Pose in yoga","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","partial","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","CCDiff-PairedImageSets","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","1","1","1","0.6328417658805847","37.97050595283508","0.014505139986673993","0.8703083992004395","0.23130993048350015","13.87859582901001","0.00695801575978597","0.4174809455871582","0.000046753883361816405","0.0028052330017089844","9.5367431640625e-8","0.0000057220458984375","0.00004686911900838216","0.0028121471405029297","0.007582306861877441","0.4549384117126465","6.75519307454427e-8","0.0000040531158447265625","0.00005367596944173177","0.0032205581665039062","0.47857098579406737","28.714259147644043","1.125917927424113","67.55507564544678","the sun salutation by surya namaskar","0.9843","the image shows how to do a morning sun salutation","0.9815","the image shows how to do a morning sun salutation","0.9815","the sun salutation a is a series of yoga postures","0.9809","sun salutations a & b","0.9778"
"PairedImageSets","finished","-","","","2026-03-29T23:46:51.000Z","65","","partial","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","partial","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/148_hard.yaml","Cakes decorated with marzipan","Cakes decorated with buttercream roses","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","partial","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","CCDiff-PairedImageSets","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","0","0","0","0.5291452288627625","31.748713731765747","0.01629271109898885","0.977562665939331","0.2343427856763204","14.060567140579224","0.008083454767862956","0.48500728607177734","0.0000592350959777832","0.003554105758666992","3.5762786865234374e-8","0.0000021457672119140625","0.00005928277969360352","0.003556966781616211","0.007283631960550944","0.43701791763305664","6.75519307454427e-8","0.0000040531158447265625","0.00005829334259033203","0.003497600555419922","0.486580224831899","29.19481348991394","1.032018212477366","61.92109274864197","a cake decorated with carrots and bunnies on a white plate","0.5594","a cake decorated with carrots and bunnies on a white plate","0.5594","this is a cake with a group of people sitting around a table","0.4648","a cake with a crown on top","0.41820000000000007","a white cake decorated with fruit and a pink ribbon","0.4104"
"PairedImageSets","finished","-","","","2026-03-29T23:45:31.000Z","71","","partial","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","partial","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/147_hard.yaml","Basketball players attempting free throws","Basketball players attempting slam dunks","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","partial","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","CCDiff-PairedImageSets","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","1","1","1","0.6294411341349284","37.7664680480957","0.01602959632873535","0.9617757797241212","0.23326337337493896","13.995802402496338","0.007770530382792155","0.4662318229675293","0.0001035928726196289","0.006215572357177734","7.152557373046876e-8","0.000004291534423828125","0.00010367631912231446","0.006220579147338867","0.007769874731699626","0.46619248390197754","8.742014567057292e-8","0.000005245208740234375","0.00005085468292236328","0.003051280975341797","0.4749115188916525","28.494691133499146","1.120382293065389","67.22293758392334","the image shows a group of people practicing free throws","0.8646","a female basketball player is about to shoot a ball","0.8040999999999999","a basketball player is preparing to shoot the ball","0.7762","a basketball player is preparing to shoot the ball","0.7762","a man is throwing a basketball with the words how to throw a free throw","0.7702"
"PairedImageSets","finished","-","","","2026-03-29T23:44:12.000Z","71","","partial","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","partial","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/146_hard.yaml","Male professional swimmers in freestyle race","Male professional swimmers in butterfly race","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","partial","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","CCDiff-PairedImageSets","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","0","0.5","0.5","0.621247923374176","37.27487540245056","0.01786534786224365","1.0719208717346191","0.23333602746327717","14.00016164779663","0.0064253648122151695","0.38552188873291016","0.00005485216776529948","0.0032911300659179688","4.3710072835286455e-8","0.0000026226043701171875","0.00005490382512410482","0.003294229507446289","0.007392636934916179","0.4435582160949707","5.5631001790364584e-8","0.000003337860107421875","0.000055166085561116535","0.003309965133666992","0.47791764736175535","28.67505884170532","1.117030958334605","67.0218575000763","two swimmers are standing next to each other in a pool","0.63185","two swimmers swimming in a pool","0.5384500000000001","a swimmer celebrates after winning a gold medal at the olympics","0.52895","a male swimmer is posing for a photo","0.45095","a swimmer is swimming in a pool","0.4404499999999999"
"PairedImageSets","finished","-","","","2026-03-29T23:42:56.000Z","68","","partial","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","partial","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/145_hard.yaml","Residential buildings in Art Deco style","Residential buildings in Brutalist style","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","partial","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","CCDiff-PairedImageSets","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","0.5","1","1","0.5763969937960307","34.58381962776184","0.01704937219619751","1.0229623317718506","0.22544641892115275","13.526785135269163","0.007915115356445313","0.4749069213867187","0.000058603286743164065","0.003516197204589844","5.1657358805338543e-8","0.0000030994415283203125","0.000058662891387939456","0.003519773483276367","0.007094085216522217","0.425645112991333","6.75519307454427e-8","0.0000040531158447265625","0.00005580584208170573","0.003348350524902344","0.46796634991963704","28.077980995178223","1.061412755648295","63.684765338897705","this image may contain art deco ceiling art deco ceiling art deco ceiling art deco ceiling art deco ceiling art deco ceiling art de","0.9392","this image may contain art deco ceiling art deco ceiling art deco ceiling art deco ceiling art deco ceiling art deco ceiling art de","0.9392","an art deco building is lit up at dusk","0.9344","this is a picture of an art deco house in sydney","0.9168","an art deco house with a car parked in front of it","0.8348"
"PairedImageSets","finished","-","","","2026-03-29T23:41:38.000Z","70","","partial","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","partial","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/144_hard.yaml","Portraits painted in cubist style","Portraits painted in impressionist style","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","partial","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","CCDiff-PairedImageSets","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","1","1","1","0.6113227208455404","36.67936325073242","0.014924259980519612","0.8954555988311768","0.23086998462677005","13.8521990776062","0.006612042586008708","0.39672255516052246","0.00002572139104207357","0.001543283462524414","9.5367431640625e-8","0.0000057220458984375","0.00002582867940266927","0.0015497207641601562","0.007595272858937582","0.4557163715362549","7.54992167154948e-8","0.0000045299530029296875","0.00005184412002563476","0.003110647201538086","0.4802505056063334","28.815030336380005","1.1064975380897522","66.38985228538513","a portrait of a woman and a man with colorful geometric shapes on their faces","0.9828","a portrait of a woman and a man with colorful geometric shapes on their faces","0.9828","an abstract painting of a man with a red mouth","0.9255","an abstract painting of a man with a red mouth","0.9255","an abstract painting of a woman's face in black and white","0.9046"
"PairedImageSets","finished","-","","","2026-03-29T23:40:24.000Z","66","","partial","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","partial","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/143_hard.yaml","Books with hardcover binding","Books with leather-bound covers","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","partial","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","CCDiff-PairedImageSets","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","0","0.5","0.5","0.5422624707221985","32.53574824333191","0.019460054238637288","1.1676032543182373","0.22949023644129435","13.76941418647766","0.007041426499684652","0.4224855899810791","0.00004689296086629232","0.002813577651977539","4.3710072835286455e-8","0.0000026226043701171875","0.00004695653915405273","0.002817392349243164","0.006787343819936117","0.407240629196167","5.960464477539064e-8","0.0000035762786865234375","0.00005670785903930664","0.0034024715423583984","0.46655087073644","27.9930522441864","1.0282734592755636","61.69640755653381","a picture of a book with a tape and a notepad","0.8855999999999999","a picture of a book with a tape and a notepad","0.8855999999999999","a person is holding a book with a green thread","0.8754","making a casebound book part 2","0.8412000000000001","how to make a book cover step 7","0.84"
"PairedImageSets","finished","-","","","2026-03-29T23:39:01.000Z","74","","partial","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","partial","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/142_hard.yaml","Acoustic guitars being played","Classical guitars being played","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","partial","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","CCDiff-PairedImageSets","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","0.5","1","1","0.6476836244265238","38.86101746559143","0.019754072030385338","1.18524432182312","0.2344555457433065","14.067332744598389","0.006494386990865072","0.3896632194519043","0.000055344899495442707","0.0033206939697265625","4.3710072835286455e-8","0.0000026226043701171875","0.00005539258321126302","0.0033235549926757812","0.006882202625274658","0.4129321575164795","6.357828776041668e-8","0.000003814697265625","0.00006522337595621745","0.003913402557373047","0.4894643863042196","29.367863178253177","1.1569021304448446","69.41412782669067","a man with tattoos playing an acoustic guitar","0.6537000000000001","a man is playing an acoustic guitar in a recording studio","0.6459999999999999","a man playing an acoustic guitar in a recording studio","0.6451","a young man playing an acoustic guitar","0.6441","a man is playing an acoustic guitar in a store","0.6429999999999999"
"PairedImageSets","finished","-","","","2026-03-29T23:37:41.000Z","72","","partial","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","partial","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/141_hard.yaml","Poems written in free verse","Poems written in sonnet form","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","partial","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","CCDiff-PairedImageSets","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","0.5","1","1","0.660515554745992","39.63093328475952","0.015828235944112142","0.9496941566467284","0.230622140566508","13.83732843399048","0.0077849626541137695","0.46709775924682617","0.00004938840866088867","0.0029633045196533203","3.9736429850260414e-8","0.000002384185791015625","0.00004943609237670898","0.002966165542602539","0.008060197035471598","0.4836118221282959","7.947285970052084e-8","0.00000476837158203125","0.00005935033162434896","0.0035610198974609375","0.47078027327855426","28.246816396713257","1.1471241116523745","68.82744669914246","a picture of a free poetry writing activity for kids","0.8726500000000001","a picture of a free poetry writing activity for kids","0.8726500000000001","a free verse poetry worksheet with the words free verse poetry","0.86025","a poster with the words free verse poetry examples","0.85535","free verse poetry that does not follow rules of meter or rhyme or often words patterns","0.75905"
"PairedImageSets","finished","-","","","2026-03-29T23:36:22.000Z","71","","partial","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","partial","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/140_hard.yaml","Cities with Gothic architecture","Cities with Modernist architecture","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","partial","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","CCDiff-PairedImageSets","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","1","1","1","0.6334940036137898","38.00964021682739","0.01572174628575643","0.9433047771453856","0.2317660093307495","13.90596055984497","0.00682907501856486","0.4097445011138916","0.00004758437474568685","0.002855062484741211","3.5762786865234374e-8","0.0000021457672119140625","0.00004763205846150716","0.0028579235076904297","0.007061060269673665","0.4236636161804199","5.5631001790364584e-8","0.000003337860107421875","0.000060276190439860025","0.0036165714263916016","0.47288051843643186","28.372831106185913","1.122096312046051","67.32577872276306","this is a drawing of a gothic cathedral","0.9977","this image shows a large cathedral in england","0.9893","an image of a cathedral with arches and pillars","0.9864","a black and white photograph of a cathedral","0.9823","people are sitting in front of an ornate cathedral","0.9813"
