"Name","Group A/acc@1","Group A/acc@5","Group A/acc@N","Group B/acc@1","Group B/acc@5","Group B/acc@N","State","Notes","User","Tags","Created","Runtime","Sweep","captioner.agg_knowledge_bank_filepath","captioner.knowledge_bank_filepath","captioner.method","captioner.model","captioner.num_rounds","captioner.num_samples","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","evaluator.method","evaluator.model","evaluator.n_hypotheses","inv_diff.clip_model","inv_diff.inverse_cca.ktype","inv_diff.inverse_cca.type","inv_diff.knowledge_bank_filepath","inv_diff.method","project","seed","wandb","time/propose_rank_minutes","time/propose_rank_seconds"
"MetaShift","0","0","0","0","0","0","finished","-","","","2026-01-28T21:25:42.000Z","136","","data/knowledge_banks/blip/agg_metashift_captions.json","data/knowledge_banks/blip/metashift_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_metashift_purity1.0_seed0/99.yaml","woman(socks)","woman(woman)","MetaShift","1","./data/datasets/metashift","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_metashift_captions.json","InvDiff","MetaShift","0","true","2.1248889843622845","127.49333906173706"
"MetaShift","0.5","0.5","0.5","0","0","0","finished","-","","","2026-01-28T21:23:00.000Z","131","","data/knowledge_banks/blip/agg_metashift_captions.json","data/knowledge_banks/blip/metashift_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_metashift_purity1.0_seed0/98.yaml","wine glass(plate)","wine glass(man)","MetaShift","1","./data/datasets/metashift","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_metashift_captions.json","InvDiff","MetaShift","0","true","2.0510595003763834","123.063570022583"
"MetaShift","0","0.5","0.5","0","0","0","finished","-","","","2026-01-28T21:20:18.000Z","133","","data/knowledge_banks/blip/agg_metashift_captions.json","data/knowledge_banks/blip/metashift_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_metashift_purity1.0_seed0/97.yaml","wine(glasses)","wine(glass)","MetaShift","1","./data/datasets/metashift","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_metashift_captions.json","InvDiff","MetaShift","0","true","2.0703269124031065","124.2196147441864"
"MetaShift","0.5","0.5","0.5","0.5","0.5","0.5","finished","-","","","2026-01-28T21:17:43.000Z","123","","data/knowledge_banks/blip/agg_metashift_captions.json","data/knowledge_banks/blip/metashift_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_metashift_purity1.0_seed0/96.yaml","windows(train)","windows(clock)","MetaShift","1","./data/datasets/metashift","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_metashift_captions.json","InvDiff","MetaShift","0","true","1.9206693371136985","115.2401602268219"
"MetaShift","1","1","1","1","1","1","finished","-","","","2026-01-28T21:15:01.000Z","134","","data/knowledge_banks/blip/agg_metashift_captions.json","data/knowledge_banks/blip/metashift_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_metashift_purity1.0_seed0/95.yaml","water(bench)","water(boat)","MetaShift","1","./data/datasets/metashift","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_metashift_captions.json","InvDiff","MetaShift","0","true","2.0800880511601765","124.8052830696106"
"MetaShift","0","0","0","0","0","0","finished","-","","","2026-01-28T21:12:17.000Z","134","","data/knowledge_banks/blip/agg_metashift_captions.json","data/knowledge_banks/blip/metashift_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_metashift_purity1.0_seed0/94.yaml","wall(bear)","wall(curtain)","MetaShift","1","./data/datasets/metashift","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_metashift_captions.json","InvDiff","MetaShift","0","true","2.091225202878316","125.47351217269896"
"MetaShift","0","0","0","0.5","1","1","finished","-","","","2026-01-28T21:09:35.000Z","132","","data/knowledge_banks/blip/agg_metashift_captions.json","data/knowledge_banks/blip/metashift_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_metashift_purity1.0_seed0/93.yaml","vehicle(fence)","vehicle(bus)","MetaShift","1","./data/datasets/metashift","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_metashift_captions.json","InvDiff","MetaShift","0","true","2.09969604810079","125.98176288604736"
"MetaShift","0.5","0.5","0.5","0","0.5","0.5","finished","-","","","2026-01-28T21:07:01.000Z","126","","data/knowledge_banks/blip/agg_metashift_captions.json","data/knowledge_banks/blip/metashift_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_metashift_purity1.0_seed0/92.yaml","vegetable(broccoli)","vegetable(plate)","MetaShift","1","./data/datasets/metashift","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_metashift_captions.json","InvDiff","MetaShift","0","true","1.9338204582532248","116.02922749519348"
"MetaShift","0.5","0.5","0.5","1","1","1","finished","-","","","2026-01-28T21:04:25.000Z","127","","data/knowledge_banks/blip/agg_metashift_captions.json","data/knowledge_banks/blip/metashift_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_metashift_purity1.0_seed0/91.yaml","umbrellas(person)","umbrellas(people)","MetaShift","1","./data/datasets/metashift","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_metashift_captions.json","InvDiff","MetaShift","0","true","1.9842031359672547","119.05218815803528"
"MetaShift","1","1","1","0","0","0","finished","-","","","2026-01-28T21:01:48.000Z","128","","data/knowledge_banks/blip/agg_metashift_captions.json","data/knowledge_banks/blip/metashift_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_metashift_purity1.0_seed0/90.yaml","truck(person)","truck(tree)","MetaShift","1","./data/datasets/metashift","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_metashift_captions.json","InvDiff","MetaShift","0","true","2.0360116958618164","122.16070175170898"
