"Name","Group A/acc@1","Group B/acc@1","Group A/acc@5","Group B/acc@5","Group A/acc@N","Group B/acc@N","State","Notes","User","Tags","Created","Runtime","Sweep","captioner.agg_knowledge_bank_filepath","captioner.knowledge_bank_filepath","captioner.method","captioner.model","captioner.num_rounds","captioner.num_samples","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","evaluator.method","evaluator.model","evaluator.n_hypotheses","inv_diff.clip_model","inv_diff.inverse_cca.ktype","inv_diff.inverse_cca.type","inv_diff.knowledge_bank_filepath","inv_diff.method","project","seed","wandb"
"MimicCxrImageSets","0.5","0","0.5","0","0.5","0","finished","-","","","2026-01-24T16:04:18.000Z","14","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/9_easy.yaml","Pleural fluid at the lung bases","Air in the pleural space with absent lung markings","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true"
"MimicCxrImageSets","0.5","0.5","0.5","0.5","0.5","0.5","finished","-","","","2026-01-24T16:03:05.000Z","62","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/8_easy.yaml","Localized lung opacity","Diffuse bilateral lung opacities","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true"
"MimicCxrImageSets","0","0.5","0","1","0","1","finished","-","","","2026-01-24T16:01:48.000Z","64","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/7_easy.yaml","Chest wall or rib abnormality","Clear lungs with no acute abnormality","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true"
"MimicCxrImageSets","0.5","1","1","1","1","1","finished","-","","","2026-01-24T16:00:47.000Z","50","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/6_easy.yaml","Clear lungs with no acute abnormality","Hyperinflated lungs with increased lung volume","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true"
"MimicCxrImageSets","1","1","1","1","1","1","finished","-","","","2026-01-24T15:59:35.000Z","62","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/5_easy.yaml","Post-surgical changes of the chest","Clear lungs with no acute abnormality","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true"
"MimicCxrImageSets","1","1","1","1","1","1","finished","-","","","2026-01-24T15:58:24.000Z","60","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/4_easy.yaml","Clear lungs with no acute abnormality","Medical tubes or implanted devices present","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true"
"MimicCxrImageSets","0.5","1","0.5","1","0.5","1","finished","-","","","2026-01-24T15:57:08.000Z","64","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/3_easy.yaml","Enlarged cardiac silhouette and Large heart","Clear lungs with no acute abnormality","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true"
"MimicCxrImageSets","1","0.5","1","1","1","1","finished","-","","","2026-01-24T15:55:53.000Z","59","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/2_easy.yaml","Clear lungs with no acute abnormality","Pleural fluid at the lung bases","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true"
"MimicCxrImageSets","1","0","1","1","1","1","finished","-","","","2026-01-24T15:54:44.000Z","57","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/1_easy.yaml","Clear lungs with no acute abnormality","Air in the pleural space with absent lung markings","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true"
"MimicCxrImageSets","1","0.5","1","0.5","1","0.5","finished","-","","","2026-01-24T15:52:50.000Z","102","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/0_easy.yaml","Clear lungs with no acute abnormality","Diffuse bilateral lung opacities","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true"
