"Name","Group A/acc@1","Group B/acc@1","Group A/acc@5","Group B/acc@5","Group A/acc@N","Group B/acc@N","State","Notes","User","Tags","Created","Runtime","Sweep","captioner.agg_knowledge_bank_filepath","captioner.knowledge_bank_filepath","captioner.method","captioner.model","captioner.num_rounds","captioner.num_samples","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","evaluator.method","evaluator.model","evaluator.n_hypotheses","inv_diff.clip_model","inv_diff.knowledge_bank_filepath","inv_diff.method","project","seed","wandb"
"PairedImageSets","0.5","0","0.5","0.5","0.5","0.5","finished","-","","","2026-01-07T07:55:47.000Z","152","","data/knowledge_banks/git/agg_pairedimagesets_captions.json","data/knowledge_banks/git/pairedimagesets_captions.json","Captioner","git","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/149_hard.yaml","People practicing the Sun Salutation in yoga","People practicing the Tree Pose in yoga","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/git/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","0.5","0.5","0.5","0.5","0.5","0.5","finished","-","","","2026-01-07T07:52:45.000Z","173","","data/knowledge_banks/git/agg_pairedimagesets_captions.json","data/knowledge_banks/git/pairedimagesets_captions.json","Captioner","git","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/148_hard.yaml","Cakes decorated with marzipan","Cakes decorated with buttercream roses","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/git/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","1","1","1","1","1","1","finished","-","","","2026-01-07T07:49:50.000Z","165","","data/knowledge_banks/git/agg_pairedimagesets_captions.json","data/knowledge_banks/git/pairedimagesets_captions.json","Captioner","git","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/147_hard.yaml","Basketball players attempting free throws","Basketball players attempting slam dunks","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/git/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","0.5","0.5","0.5","0.5","0.5","0.5","finished","-","","","2026-01-07T07:46:53.000Z","167","","data/knowledge_banks/git/agg_pairedimagesets_captions.json","data/knowledge_banks/git/pairedimagesets_captions.json","Captioner","git","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/146_hard.yaml","Male professional swimmers in freestyle race","Male professional swimmers in butterfly race","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/git/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","0.5","0.5","0.5","0.5","0.5","0.5","finished","-","","","2026-01-07T07:43:48.000Z","175","","data/knowledge_banks/git/agg_pairedimagesets_captions.json","data/knowledge_banks/git/pairedimagesets_captions.json","Captioner","git","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/145_hard.yaml","Residential buildings in Art Deco style","Residential buildings in Brutalist style","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/git/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","0.5","0","0.5","0.5","0.5","0.5","finished","-","","","2026-01-07T07:41:35.000Z","124","","data/knowledge_banks/git/agg_pairedimagesets_captions.json","data/knowledge_banks/git/pairedimagesets_captions.json","Captioner","git","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/144_hard.yaml","Portraits painted in cubist style","Portraits painted in impressionist style","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/git/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","0","0","0","1","0","1","finished","-","","","2026-01-07T07:38:37.000Z","169","","data/knowledge_banks/git/agg_pairedimagesets_captions.json","data/knowledge_banks/git/pairedimagesets_captions.json","Captioner","git","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/143_hard.yaml","Books with hardcover binding","Books with leather-bound covers","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/git/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","0.5","0.5","1","0.5","1","0.5","finished","-","","","2026-01-07T07:35:52.000Z","154","","data/knowledge_banks/git/agg_pairedimagesets_captions.json","data/knowledge_banks/git/pairedimagesets_captions.json","Captioner","git","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/142_hard.yaml","Acoustic guitars being played","Classical guitars being played","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/git/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","0.5","0","0.5","0","0.5","0","finished","-","","","2026-01-07T07:32:57.000Z","164","","data/knowledge_banks/git/agg_pairedimagesets_captions.json","data/knowledge_banks/git/pairedimagesets_captions.json","Captioner","git","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/141_hard.yaml","Poems written in free verse","Poems written in sonnet form","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/git/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","1","0.5","1","0.5","1","0.5","finished","-","","","2026-01-07T07:30:11.000Z","156","","data/knowledge_banks/git/agg_pairedimagesets_captions.json","data/knowledge_banks/git/pairedimagesets_captions.json","Captioner","git","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/140_hard.yaml","Cities with Gothic architecture","Cities with Modernist architecture","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/git/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
