"Name","Group A/acc@1","Group B/acc@1","Group A/acc@5","Group B/acc@5","Group A/acc@N","Group B/acc@N","State","Notes","User","Tags","Created","Runtime","Sweep","captioner.agg_knowledge_bank_filepath","captioner.knowledge_bank_filepath","captioner.method","captioner.model","captioner.num_rounds","captioner.num_samples","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","evaluator.method","evaluator.model","evaluator.n_hypotheses","inv_diff.clip_model","inv_diff.inverse_cca.ktype","inv_diff.inverse_cca.type","inv_diff.knowledge_bank_filepath","inv_diff.method","project","seed","wandb"
"PairedImageSets","0","0","0","0.5","0","0.5","finished","-","","","2026-01-16T04:58:46.000Z","18","","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/99_medium.yaml","Classic movies in black and white","Classic movies in Technicolor","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","0.5","1","1","1","1","1","finished","-","","","2026-01-16T04:58:18.000Z","19","","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/98_medium.yaml","Wild horses in American plains","Wild zebras in African savannahs","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","0","0.5","0.5","0.5","0.5","0.5","finished","-","","","2026-01-16T04:57:51.000Z","18","","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/97_medium.yaml","Dishes from Thai cuisine","Dishes from Vietnamese cuisine","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","1","1","1","1","1","1","finished","-","","","2026-01-16T04:57:24.000Z","18","","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/96_medium.yaml","Fruits arranged in a still life setting","Flowers arranged in a still life setting","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","1","1","1","1","1","1","finished","-","","","2026-01-16T04:56:57.000Z","18","","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/95_medium.yaml","Seascapes during a storm","Seascapes during a calm day","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","0.5","0.5","1","0.5","1","0.5","finished","-","","","2026-01-16T04:56:30.000Z","18","","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/94_medium.yaml","Cars from the 1960s","Cars from the 1980s","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","1","1","1","1","1","1","finished","-","","","2026-01-16T04:56:02.000Z","19","","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/93_medium.yaml","Rivers in tropical rainforests","Rivers in alpine meadows","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","0.5","0.5","0.5","0.5","0.5","0.5","finished","-","","","2026-01-16T04:55:36.000Z","17","","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/92_medium.yaml","Candies made from dark chocolate","Candies made from milk chocolate","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","0.5","0.5","1","0.5","1","0.5","finished","-","","","2026-01-16T04:55:08.000Z","18","","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/91_medium.yaml","Abstract oil paintings with warm colors","Abstract oil paintings with cool colors","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","1","1","1","1","1","1","finished","-","","","2026-01-16T04:54:42.000Z","17","","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/90_medium.yaml","People dancing tango","People dancing waltz","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
