"Name","time/propose_rank_seconds","Group A/acc@1","Group B/acc@1","Group A/acc@5","Group B/acc@5","State","Notes","User","Tags","Created","Runtime","Sweep","captioner.agg_knowledge_bank_filepath","captioner.knowledge_bank_filepath","captioner.method","captioner.model","captioner.num_rounds","captioner.num_samples","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","evaluator.method","evaluator.model","evaluator.n_hypotheses","inv_diff.clip_model","inv_diff.inverse_cca.ktype","inv_diff.inverse_cca.type","inv_diff.knowledge_bank_filepath","inv_diff.method","project","seed","wandb","Group A/acc@N","Group B/acc@N","time/propose_rank_minutes"
"PairedImageSets","112.38307070732117","1","0.5","1","0.5","finished","-","","","2026-01-28T10:07:58.000Z","121","","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/149_hard.yaml","People practicing the Sun Salutation in yoga","People practicing the Tree Pose in yoga","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true","1","0.5","1.8730511784553527"
"PairedImageSets","107.08664846420288","0","0.5","0.5","0.5","finished","-","","","2026-01-28T10:05:37.000Z","115","","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/148_hard.yaml","Cakes decorated with marzipan","Cakes decorated with buttercream roses","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true","0.5","0.5","1.7847774744033813"
"PairedImageSets","117.52793526649477","0.5","1","1","1","finished","-","","","2026-01-28T10:03:06.000Z","124","","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/147_hard.yaml","Basketball players attempting free throws","Basketball players attempting slam dunks","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true","1","1","1.958798921108246"
"PairedImageSets","110.72513914108276","0.5","0.5","0.5","0.5","finished","-","","","2026-01-28T10:00:25.000Z","117","","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/146_hard.yaml","Male professional swimmers in freestyle race","Male professional swimmers in butterfly race","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true","0.5","0.5","1.8454189856847127"
"PairedImageSets","112.94833278656006","1","0.5","1","0.5","finished","-","","","2026-01-28T09:57:59.000Z","119","","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/145_hard.yaml","Residential buildings in Art Deco style","Residential buildings in Brutalist style","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true","1","0.5","1.8824722131093343"
"PairedImageSets","113.13190698623656","0.5","0.5","0.5","0.5","finished","-","","","2026-01-28T09:55:31.000Z","120","","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/144_hard.yaml","Portraits painted in cubist style","Portraits painted in impressionist style","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true","0.5","0.5","1.8855317831039429"
"PairedImageSets","105.88928365707396","0","1","1","1","finished","-","","","2026-01-28T09:53:13.000Z","113","","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/143_hard.yaml","Books with hardcover binding","Books with leather-bound covers","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true","1","1","1.7648213942845663"
"PairedImageSets","119.10112643241882","1","0.5","1","0.5","finished","-","","","2026-01-28T09:50:39.000Z","126","","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/142_hard.yaml","Acoustic guitars being played","Classical guitars being played","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true","1","0.5","1.9850187738736471"
"PairedImageSets","122.89943289756776","0.5","1","0.5","1","finished","-","","","2026-01-28T09:48:02.000Z","132","","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/141_hard.yaml","Poems written in free verse","Poems written in sonnet form","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true","0.5","1","2.0483238816261293"
"PairedImageSets","115.37100744247437","1","1","1","1","finished","-","","","2026-01-28T09:45:34.000Z","122","","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","data/knowledge_banks/blip/pairedimagesets_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/140_hard.yaml","Cities with Gothic architecture","Cities with Modernist architecture","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true","1","1","1.9228501240412397"
