Name,Runtime,analysis,config,data.group1,data.group2,acc@1,acc@5,acc@N
VisDiff-MetaShift,119,,configs/sweep_metashift_purity1.0_seed0/0.yaml,rice(plate),rice(food),0.0,0.5,0.5
VisDiff-MetaShift,118,,configs/sweep_metashift_purity1.0_seed0/1.yaml,banana(bowl),banana(man),0.5,0.5,0.5
VisDiff-MetaShift,120,,configs/sweep_metashift_purity1.0_seed0/2.yaml,banana(orange),banana(apple),0.0,0.5,0.5
VisDiff-MetaShift,39,,configs/sweep_metashift_purity1.0_seed0/3.yaml,banana(bowl),banana(apple),0.5,0.5,0.5
VisDiff-MetaShift,82,,configs/sweep_metashift_purity1.0_seed0/4.yaml,banana(bowl),banana(table),0.0,0.5,0.5
VisDiff-MetaShift,75,,configs/sweep_metashift_purity1.0_seed0/5.yaml,banana(fruit),banana(apple),0.0,1.0,1.0
VisDiff-MetaShift,117,,configs/sweep_metashift_purity1.0_seed0/6.yaml,meat(plate),meat(sandwich),0.5,0.5,0.5
VisDiff-MetaShift,78,,configs/sweep_metashift_purity1.0_seed0/7.yaml,meat(plate),meat(cheese),0.5,0.5,0.5
VisDiff-MetaShift,118,,configs/sweep_metashift_purity1.0_seed0/8.yaml,meat(vegetables),meat(lettuce),0.0,0.5,0.5
VisDiff-MetaShift,128,,configs/sweep_metashift_purity1.0_seed0/9.yaml,meat(bowl),meat(napkin),0.5,0.5,0.5
VisDiff-MetaShift,103,,configs/sweep_metashift_purity1.0_seed0/10.yaml,meat(lettuce),meat(broccoli),0.5,0.5,0.5
VisDiff-MetaShift,131,,configs/sweep_metashift_purity1.0_seed0/11.yaml,spoon(fork),spoon(chair),0.0,0.0,0.0
VisDiff-MetaShift,128,,configs/sweep_metashift_purity1.0_seed0/12.yaml,spoon(bowl),spoon(man),0.5,0.5,0.5
VisDiff-MetaShift,52,,configs/sweep_metashift_purity1.0_seed0/13.yaml,spoon(bowl),spoon(fork),0.5,0.5,0.5
VisDiff-MetaShift,81,,configs/sweep_metashift_purity1.0_seed0/14.yaml,spoon(bowl),spoon(bottle),0.5,0.5,0.5
VisDiff-MetaShift,80,,configs/sweep_metashift_purity1.0_seed0/15.yaml,spoon(plate),spoon(man),0.5,0.5,0.5
VisDiff-MetaShift,141,,configs/sweep_metashift_purity1.0_seed0/16.yaml,tablecloth(plate),tablecloth(chair),0.0,0.5,0.5
VisDiff-MetaShift,159,,configs/sweep_metashift_purity1.0_seed0/17.yaml,tablecloth(table),tablecloth(man),0.0,0.5,0.5
VisDiff-MetaShift,57,,configs/sweep_metashift_purity1.0_seed0/18.yaml,tablecloth(plate),tablecloth(table),0.5,0.5,0.5
VisDiff-MetaShift,39,,configs/sweep_metashift_purity1.0_seed0/19.yaml,tablecloth(plate),tablecloth(man),0.5,0.5,0.5
VisDiff-MetaShift,36,,configs/sweep_metashift_purity1.0_seed0/20.yaml,tablecloth(table),tablecloth(chair),0.0,0.0,0.0
VisDiff-MetaShift,169,,configs/sweep_metashift_purity1.0_seed0/21.yaml,bowl(chair),bowl(glasses),0.0,0.0,0.0
VisDiff-MetaShift,146,,configs/sweep_metashift_purity1.0_seed0/22.yaml,bowl(cup),bowl(table),0.0,0.5,0.5
VisDiff-MetaShift,130,,configs/sweep_metashift_purity1.0_seed0/23.yaml,bowl(cheese),bowl(pizza),0.0,0.5,0.5
VisDiff-MetaShift,144,,configs/sweep_metashift_purity1.0_seed0/24.yaml,bowl(napkin),bowl(knife),0.0,0.0,0.0
VisDiff-MetaShift,109,,configs/sweep_metashift_purity1.0_seed0/25.yaml,bowl(banana),bowl(napkin),0.5,1.0,1.0
VisDiff-MetaShift,140,,configs/sweep_metashift_purity1.0_seed0/26.yaml,dish(food),dish(table),0.5,1.0,1.0
VisDiff-MetaShift,99,,configs/sweep_metashift_purity1.0_seed0/27.yaml,dish(table),dish(fork),0.0,0.0,0.0
VisDiff-MetaShift,98,,configs/sweep_metashift_purity1.0_seed0/28.yaml,dish(spoon),dish(food),0.5,0.5,0.5
VisDiff-MetaShift,81,,configs/sweep_metashift_purity1.0_seed0/29.yaml,dish(plate),dish(fork),0.0,0.5,0.5
VisDiff-MetaShift,81,,configs/sweep_metashift_purity1.0_seed0/30.yaml,dish(bowl),dish(food),0.0,0.0,0.0
VisDiff-MetaShift,119,,configs/sweep_metashift_purity1.0_seed0/31.yaml,plate(bread),plate(carrot),0.5,1.0,1.0
VisDiff-MetaShift,127,,configs/sweep_metashift_purity1.0_seed0/32.yaml,plate(coffee),plate(girl),1.0,1.0,1.0
VisDiff-MetaShift,123,,configs/sweep_metashift_purity1.0_seed0/33.yaml,plate(saucer),plate(vase),0.5,0.5,0.5
VisDiff-MetaShift,117,,configs/sweep_metashift_purity1.0_seed0/34.yaml,plate(cheese),plate(boy),0.5,0.5,0.5
VisDiff-MetaShift,80,,configs/sweep_metashift_purity1.0_seed0/35.yaml,plate(bread),plate(napkin),0.5,1.0,1.0
VisDiff-MetaShift,117,,configs/sweep_metashift_purity1.0_seed0/36.yaml,ground(snow),ground(dirt),0.5,1.0,1.0
VisDiff-MetaShift,78,,configs/sweep_metashift_purity1.0_seed0/37.yaml,ground(snow),ground(helmet),0.5,1.0,1.0
VisDiff-MetaShift,114,,configs/sweep_metashift_purity1.0_seed0/38.yaml,ground(airplane),ground(rocks),1.0,1.0,1.0
VisDiff-MetaShift,75,,configs/sweep_metashift_purity1.0_seed0/39.yaml,ground(snow),ground(bus),1.0,1.0,1.0
VisDiff-MetaShift,76,,configs/sweep_metashift_purity1.0_seed0/40.yaml,ground(car),ground(bus),0.0,0.0,0.0
VisDiff-MetaShift,119,,configs/sweep_metashift_purity1.0_seed0/41.yaml,bushes(woman),bushes(house),0.5,0.5,0.5
VisDiff-MetaShift,120,,configs/sweep_metashift_purity1.0_seed0/42.yaml,bushes(trees),bushes(sign),0.0,0.5,0.5
VisDiff-MetaShift,119,,configs/sweep_metashift_purity1.0_seed0/43.yaml,bushes(man),bushes(bench),0.5,0.5,0.5
VisDiff-MetaShift,117,,configs/sweep_metashift_purity1.0_seed0/44.yaml,bushes(tree),bushes(car),0.0,0.5,0.5
VisDiff-MetaShift,124,,configs/sweep_metashift_purity1.0_seed0/45.yaml,bushes(giraffe),bushes(wall),1.0,1.0,1.0
VisDiff-MetaShift,121,,configs/sweep_metashift_purity1.0_seed0/46.yaml,road(dog),road(girl),0.5,1.0,1.0
VisDiff-MetaShift,116,,configs/sweep_metashift_purity1.0_seed0/47.yaml,road(car),road(truck),0.0,0.0,0.0
VisDiff-MetaShift,115,,configs/sweep_metashift_purity1.0_seed0/48.yaml,road(bike),road(skateboard),0.5,0.5,0.5
VisDiff-MetaShift,115,,configs/sweep_metashift_purity1.0_seed0/49.yaml,road(bicycle),road(lamp),1.0,1.0,1.0
VisDiff-MetaShift,116,,configs/sweep_metashift_purity1.0_seed0/50.yaml,road(box),road(taxi),0.0,0.0,0.0
VisDiff-MetaShift,119,,configs/sweep_metashift_purity1.0_seed0/51.yaml,leaves(branch),leaves(table),0.0,0.0,0.0
VisDiff-MetaShift,76,,configs/sweep_metashift_purity1.0_seed0/52.yaml,leaves(branch),leaves(bench),0.0,0.0,0.0
VisDiff-MetaShift,118,,configs/sweep_metashift_purity1.0_seed0/53.yaml,leaves(trees),leaves(bear),0.0,0.0,0.0
VisDiff-MetaShift,74,,configs/sweep_metashift_purity1.0_seed0/54.yaml,leaves(water),leaves(bench),0.5,0.5,0.5
VisDiff-MetaShift,95,,configs/sweep_metashift_purity1.0_seed0/55.yaml,leaves(tree),leaves(water),0.0,0.0,0.0
VisDiff-MetaShift,112,,configs/sweep_metashift_purity1.0_seed0/56.yaml,ski(man),ski(people),0.5,1.0,1.0
VisDiff-MetaShift,87,,configs/sweep_metashift_purity1.0_seed0/57.yaml,ski(snow),ski(man),0.0,1.0,1.0
VisDiff-MetaShift,73,,configs/sweep_metashift_purity1.0_seed0/58.yaml,ski(snow),ski(person),0.5,0.5,0.5
VisDiff-MetaShift,70,,configs/sweep_metashift_purity1.0_seed0/59.yaml,ski(man),ski(helmet),0.5,0.5,0.5
VisDiff-MetaShift,37,,configs/sweep_metashift_purity1.0_seed0/60.yaml,ski(snow),ski(helmet),0.5,0.5,0.5
VisDiff-MetaShift,120,,configs/sweep_metashift_purity1.0_seed0/61.yaml,boy(building),boy(house),0.0,0.5,0.5
VisDiff-MetaShift,118,,configs/sweep_metashift_purity1.0_seed0/62.yaml,boy(watch),boy(door),0.0,0.0,0.0
VisDiff-MetaShift,118,,configs/sweep_metashift_purity1.0_seed0/63.yaml,boy(boy),boy(sweater),0.0,0.5,0.5
VisDiff-MetaShift,118,,configs/sweep_metashift_purity1.0_seed0/64.yaml,boy(socks),boy(bottle),0.0,0.0,0.0
VisDiff-MetaShift,118,,configs/sweep_metashift_purity1.0_seed0/65.yaml,boy(person),boy(window),0.0,0.0,0.0
VisDiff-MetaShift,112,,configs/sweep_metashift_purity1.0_seed0/66.yaml,snow(leaves),snow(snowboarder),0.0,0.5,0.5
VisDiff-MetaShift,116,,configs/sweep_metashift_purity1.0_seed0/67.yaml,snow(building),snow(roof),0.0,0.0,0.0
VisDiff-MetaShift,114,,configs/sweep_metashift_purity1.0_seed0/68.yaml,snow(sky),snow(skier),0.0,0.0,0.0
VisDiff-MetaShift,115,,configs/sweep_metashift_purity1.0_seed0/69.yaml,snow(car),snow(girl),0.5,0.5,0.5
VisDiff-MetaShift,73,,configs/sweep_metashift_purity1.0_seed0/70.yaml,snow(man),snow(girl),0.5,0.5,0.5
VisDiff-MetaShift,122,,configs/sweep_metashift_purity1.0_seed0/71.yaml,pole(bird),pole(fire hydrant),0.5,1.0,1.0
VisDiff-MetaShift,118,,configs/sweep_metashift_purity1.0_seed0/72.yaml,pole(truck),pole(camera),0.5,1.0,1.0
VisDiff-MetaShift,95,,configs/sweep_metashift_purity1.0_seed0/73.yaml,pole(bicycle),pole(truck),0.5,1.0,1.0
VisDiff-MetaShift,118,,configs/sweep_metashift_purity1.0_seed0/74.yaml,pole(building),pole(horse),0.5,0.5,0.5
VisDiff-MetaShift,81,,configs/sweep_metashift_purity1.0_seed0/75.yaml,pole(truck),pole(lady),1.0,1.0,1.0
VisDiff-MetaShift,117,,configs/sweep_metashift_purity1.0_seed0/76.yaml,tree(bag),tree(traffic light),0.0,0.0,0.0
VisDiff-MetaShift,115,,configs/sweep_metashift_purity1.0_seed0/77.yaml,tree(stop sign),tree(bus),1.0,1.0,1.0
VisDiff-MetaShift,116,,configs/sweep_metashift_purity1.0_seed0/78.yaml,tree(man),tree(person),0.0,0.5,0.5
VisDiff-MetaShift,114,,configs/sweep_metashift_purity1.0_seed0/79.yaml,tree(window),tree(bench),0.0,0.0,0.0
VisDiff-MetaShift,79,,configs/sweep_metashift_purity1.0_seed0/80.yaml,tree(fire hydrant),tree(bus),1.0,1.0,1.0
VisDiff-MetaShift,116,,configs/sweep_metashift_purity1.0_seed0/81.yaml,dirt(home plate),dirt(horse),1.0,1.0,1.0
VisDiff-MetaShift,122,,configs/sweep_metashift_purity1.0_seed0/82.yaml,dirt(grass),dirt(giraffe),0.0,0.0,0.0
VisDiff-MetaShift,81,,configs/sweep_metashift_purity1.0_seed0/83.yaml,dirt(animal),dirt(giraffe),0.0,0.5,0.5
VisDiff-MetaShift,35,,configs/sweep_metashift_purity1.0_seed0/84.yaml,dirt(home plate),dirt(giraffe),0.0,0.5,0.5
VisDiff-MetaShift,82,,configs/sweep_metashift_purity1.0_seed0/85.yaml,dirt(tree),dirt(giraffe),0.0,0.0,0.0
VisDiff-MetaShift,118,,configs/sweep_metashift_purity1.0_seed0/86.yaml,men(shirt),men(people),0.5,0.5,0.5
VisDiff-MetaShift,119,,configs/sweep_metashift_purity1.0_seed0/87.yaml,men(jacket),men(pants),0.0,0.0,0.0
VisDiff-MetaShift,96,,configs/sweep_metashift_purity1.0_seed0/88.yaml,men(woman),men(shirt),0.0,0.0,0.0
VisDiff-MetaShift,78,,configs/sweep_metashift_purity1.0_seed0/89.yaml,men(helmet),men(pants),0.5,0.5,0.5
VisDiff-MetaShift,49,,configs/sweep_metashift_purity1.0_seed0/90.yaml,men(shirt),men(jacket),0.0,0.0,0.0
VisDiff-MetaShift,122,,configs/sweep_metashift_purity1.0_seed0/91.yaml,bag(phone),bag(umbrella),0.5,0.5,0.5
VisDiff-MetaShift,120,,configs/sweep_metashift_purity1.0_seed0/92.yaml,bag(ground),bag(seat),0.0,0.0,0.0
VisDiff-MetaShift,121,,configs/sweep_metashift_purity1.0_seed0/93.yaml,bag(motorcycle),bag(laptop),0.5,1.0,1.0
VisDiff-MetaShift,121,,configs/sweep_metashift_purity1.0_seed0/94.yaml,bag(desk),bag(clock),0.5,0.5,0.5
VisDiff-MetaShift,119,,configs/sweep_metashift_purity1.0_seed0/95.yaml,bag(wall),bag(bowl),0.0,0.5,0.5
VisDiff-MetaShift,117,,configs/sweep_metashift_purity1.0_seed0/96.yaml,helmet(woman),helmet(snowboard),0.0,0.5,0.5
