"Name","Group A/acc@1","Group A/acc@5","Group A/acc@N","Group B/acc@1","Group B/acc@5","Group B/acc@N","State","Notes","User","Tags","Created","Runtime","Sweep","captioner.agg_knowledge_bank_filepath","captioner.knowledge_bank_filepath","captioner.method","captioner.model","captioner.num_rounds","captioner.num_samples","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","evaluator.method","evaluator.model","evaluator.n_hypotheses","inv_diff.clip_model","inv_diff.knowledge_bank_filepath","inv_diff.method","project","seed","wandb"
"ImageNetR","1","1","1","0","0","0","finished","-","","","2025-12-28T22:12:16.000Z","114","","data/knowledge_banks/blip/agg_imagenet_captions.json","data/knowledge_banks/blip/imagenet_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_imagenetr/videogame-imagenet.yaml","videogame","imagenet","ImageNetR","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_imagenet_captions.json","InvDiff","ImageNetR","0","true"
"ImageNetR","0","0.5","0.5","0","0","0","finished","-","","","2025-12-28T22:10:09.000Z","118","","data/knowledge_banks/blip/agg_imagenet_captions.json","data/knowledge_banks/blip/imagenet_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_imagenetr/toy-imagenet.yaml","toy","imagenet","ImageNetR","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_imagenet_captions.json","InvDiff","ImageNetR","0","true"
"ImageNetR","1","1","1","0","0","0","finished","-","","","2025-12-28T22:07:56.000Z","124","","data/knowledge_banks/blip/agg_imagenet_captions.json","data/knowledge_banks/blip/imagenet_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_imagenetr/tattoo-imagenet.yaml","tattoo","imagenet","ImageNetR","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_imagenet_captions.json","InvDiff","ImageNetR","0","true"
"ImageNetR","0","0.5","0.5","0","0","0","finished","-","","","2025-12-28T22:05:48.000Z","119","","data/knowledge_banks/blip/agg_imagenet_captions.json","data/knowledge_banks/blip/imagenet_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_imagenetr/sticker-imagenet.yaml","sticker","imagenet","ImageNetR","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_imagenet_captions.json","InvDiff","ImageNetR","0","true"
"ImageNetR","0.5","1","1","0","0","0","finished","-","","","2025-12-28T22:03:35.000Z","125","","data/knowledge_banks/blip/agg_imagenet_captions.json","data/knowledge_banks/blip/imagenet_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_imagenetr/sketch-imagenet.yaml","sketch","imagenet","ImageNetR","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_imagenet_captions.json","InvDiff","ImageNetR","0","true"
"ImageNetR","1","1","1","0","0","0","finished","-","","","2025-12-28T22:01:27.000Z","119","","data/knowledge_banks/blip/agg_imagenet_captions.json","data/knowledge_banks/blip/imagenet_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_imagenetr/sculpture-imagenet.yaml","sculpture","imagenet","ImageNetR","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_imagenet_captions.json","InvDiff","ImageNetR","0","true"
"ImageNetR","1","1","1","0","0","0","finished","-","","","2025-12-28T21:59:17.000Z","121","","data/knowledge_banks/blip/agg_imagenet_captions.json","data/knowledge_banks/blip/imagenet_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_imagenetr/painting-imagenet.yaml","painting","imagenet","ImageNetR","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_imagenet_captions.json","InvDiff","ImageNetR","0","true"
"ImageNetR","1","1","1","0","0","0","finished","-","","","2025-12-28T21:57:08.000Z","121","","data/knowledge_banks/blip/agg_imagenet_captions.json","data/knowledge_banks/blip/imagenet_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_imagenetr/origami-imagenet.yaml","origami","imagenet","ImageNetR","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_imagenet_captions.json","InvDiff","ImageNetR","0","true"
"ImageNetR","0","0.5","0.5","0","0","0","finished","-","","","2025-12-28T21:54:59.000Z","120","","data/knowledge_banks/blip/agg_imagenet_captions.json","data/knowledge_banks/blip/imagenet_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_imagenetr/graphic-imagenet.yaml","graphic","imagenet","ImageNetR","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_imagenet_captions.json","InvDiff","ImageNetR","0","true"
"ImageNetR","1","1","1","0","0","0","finished","-","","","2025-12-28T21:52:50.000Z","120","","data/knowledge_banks/blip/agg_imagenet_captions.json","data/knowledge_banks/blip/imagenet_captions.json","Captioner","blip","3","20","Describe this image in detail.","configs/sweep_imagenetr/graffiti-imagenet.yaml","graffiti","imagenet","ImageNetR","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_imagenet_captions.json","InvDiff","ImageNetR","0","true"
