run_id,run_name,state,peak_gpu_memory_gb,total_peak_memory_gb
d8cokssm,PairedImageSets,finished,13.49273681640625,22.55426025390625
du4666z2,PairedImageSets,finished,13.49273681640625,22.55426025390625
wlg1vg7s,PairedImageSets,finished,12.9404296875,22.001953125
hm6zehlo,PairedImageSets,finished,12.9404296875,22.001953125
zj7bx7su,PairedImageSets,finished,13.49273681640625,22.55426025390625
7aagqhlu,PairedImageSets,finished,12.95672607421875,22.01824951171875
sov5rqbe,PairedImageSets,finished,13.49273681640625,22.55426025390625
adwzcpih,PairedImageSets,finished,13.49273681640625,22.55426025390625
noakmgu0,PairedImageSets,finished,13.49273681640625,22.55426025390625
94rxhq0q,PairedImageSets,finished,13.49273681640625,22.55426025390625
y52q957l,PairedImageSets,finished,12.9404296875,22.001953125
futkvsgo,PairedImageSets,finished,13.49273681640625,22.55426025390625
uqe0o980,PairedImageSets,finished,12.9404296875,22.001953125
dw505z3o,PairedImageSets,finished,12.9404296875,22.001953125
0f5thim2,PairedImageSets,finished,12.9404296875,22.001953125
ugbmkd0r,PairedImageSets,finished,12.9404296875,22.001953125
n2awxd9j,PairedImageSets,finished,12.9404296875,22.001953125
apy5r204,PairedImageSets,finished,12.9404296875,22.001953125
5kvcsgx5,PairedImageSets,finished,12.9404296875,22.001953125
wtx8j36v,PairedImageSets,finished,12.9404296875,22.001953125
3mdw874z,PairedImageSets,finished,12.9404296875,22.001953125
7pb3xbmp,PairedImageSets,finished,12.9404296875,22.001953125
p1x3md2q,PairedImageSets,finished,12.9404296875,22.001953125
woy0q8sr,PairedImageSets,finished,13.49273681640625,22.55426025390625
cmefp5kj,PairedImageSets,finished,12.9404296875,22.001953125
wvcv4y8e,PairedImageSets,finished,12.9404296875,22.001953125
g298nkmz,PairedImageSets,finished,12.9404296875,22.001953125
48ajbe0b,PairedImageSets,finished,12.9404296875,22.001953125
moqirgml,PairedImageSets,finished,12.9404296875,22.001953125
kpgm3t7b,PairedImageSets,finished,13.49273681640625,22.55426025390625
