run_id,run_name,state,peak_gpu_memory_gb,total_peak_memory_gb
sbi85ksu,PairedImageSets,finished,12.9404296875,22.001953125
76wmhivd,PairedImageSets,finished,12.9404296875,22.001953125
6rrbm31x,PairedImageSets,finished,12.9404296875,22.001953125
6s5b4rcm,PairedImageSets,finished,12.9404296875,22.001953125
zmabg8iw,PairedImageSets,finished,12.9404296875,22.001953125
l5bhw3qr,PairedImageSets,finished,12.9404296875,22.001953125
fn8u499o,PairedImageSets,finished,12.9404296875,22.001953125
xrfatdr5,PairedImageSets,finished,12.9404296875,22.001953125
8nojirn0,PairedImageSets,finished,12.9404296875,22.001953125
fwhsvop5,PairedImageSets,finished,12.9404296875,22.001953125
0o9l9ssc,PairedImageSets,finished,12.9404296875,22.001953125
bvduju0l,PairedImageSets,finished,12.9404296875,22.001953125
cuptv2dt,PairedImageSets,finished,12.9404296875,22.001953125
5i5da5k4,PairedImageSets,finished,12.9404296875,22.001953125
jeaoz0b9,PairedImageSets,finished,12.9404296875,22.001953125
fch7psdp,PairedImageSets,finished,12.9404296875,22.001953125
60o2wp02,PairedImageSets,finished,12.9404296875,22.001953125
kikn0gu5,PairedImageSets,finished,12.9404296875,22.001953125
pufqbdqz,PairedImageSets,finished,12.9404296875,22.001953125
8y1y4wwk,PairedImageSets,finished,12.9404296875,22.001953125
eum57dsx,PairedImageSets,finished,12.9404296875,22.001953125
4vz09i0a,PairedImageSets,finished,12.9404296875,22.001953125
47nfsu73,PairedImageSets,finished,12.9404296875,22.001953125
ongu4aei,PairedImageSets,finished,12.9404296875,22.001953125
0t3s6a6x,PairedImageSets,finished,12.9404296875,22.001953125
zn7dgc6c,PairedImageSets,finished,12.9404296875,22.001953125
on93xwis,PairedImageSets,finished,12.9404296875,22.001953125
oe9c9n00,PairedImageSets,finished,12.9404296875,22.001953125
zwmgvxbw,PairedImageSets,finished,12.9404296875,22.001953125
vdy8x3py,PairedImageSets,finished,12.9404296875,22.001953125
